Название;Тип;Флаг;MMSI;IMO;Позывной;Размер;GT;Грузоподъёмн.;Макс. скорость;Обновлено;Назначения;РВП;Морской статус;Особый груз;Скорость;Осадка;Курс;Направление;Расположение;Статус;Порт приписки;Судостроит. завод;Классифицировано;Год;Палубы;Материал корпуса;Номер корпуса;Тип корпуса;Производитель;Модель;Номер;Мощность (кВт/л.с.);Об./мин.;Тип двигателя;Ход цилиндра;Диаметр цилиндра;Подруль;Силовая установка;Кол. установок;Адрес;Индекс;Город;Страна;Телефон;Факс;E-Mail;Сайт;Грузоподъёмность;Gross Tonnage;Net Tonnage;Компенсированный GT;Водоизмещение;TPC;Длинна (ОДС);Длинна (ДМП);Ширина;Глубина;Высота;Киповая грузовм.;Зерновая грузовм.;Грузовм. рефрижераторных грузов;Рефрижераторный ДФЭ;ДФЭ;Пассажиры;SWL-устройство;Данные устройства;Тип устройства;Трюмы;Люки;Макс. размер люка;Грузовм. жидких грузов;Система инертного газа;Промывка рез. сырой нефтью;Химический Класс IMO;Насосы;Подача насоса;Резервуары;Классы
Volgoneft-254;-;Russian Federation;273347300;8231069;UIKC;142x17 m;Вчера, 9:35; ; ;На Якоре;Ни одного;(Ø8,1 kn);3,4 m;256° ;255°;"53°09'57"" N 49°37'50"" E"
Volgoneft-256;Diesel;Russian Federation;273276100;8231071;UABW;4 059 t;6 593 t;10 kn;"<span title=""Сегодня, 11:39"">5мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø6,1 kn);3,5 m;333,6° ;-;"53°10'43"" N 50°05'53"" E";In Service;Astrakhan;Volgograd;Russian Maritime Register;1976;-;Steel;-;Double Hull;-;8NVD48A-2U;-;1 472 / 2 002;375 rpm;-;-;-;-;Fixed Pitch;-;ul Arsenyeva 2, 400112 Volgograd;400112;Volgograd; ;+7 844 268 2507;+7 844 267 4389; ; ;6 593 t;4 059 t;1 956 t;-;-;-;132,6 m;123,7 m;16,9 m;5,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;6 200;-;-;-;2-P-450;-;-;-
"""Volgoneft-263"" ,";-;Russian Federation;273344500;8230912;UFTI;133x16 m;"<span title=""Сегодня, 11:44"">только что</span>"; ; ;На Ходу;Ни одного;(Ø0,2 kn);2,8 m;-;326°;"47°07'15"" N 39°23'16"" E"
Volzhskiy 45;Diesel;Russian Federation;273310130;8862703;UBNI;139x16 m;5 213 t;6 003 t;10 kn;04 сентября, 9:12; ; ;На Якоре;Ни одного;(Ø0,6 kn);4,1 m;295° ;-;"45°20'19"" N 28°47'46"" E";In Service;Taganrog;Navashino;Russian Maritime Register;1991;-;Steel;1047;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 766 / 2 402;375 rpm;-;-;-;-;Fixed Pitch;-;5th Floor, ul Sovetskaya 63, Rostov-na-Donu;344019;Rostov-na-Donu; ;+7 863 253 7544;+7 863 253 4436; ; ;6 003 t;5 213 t;1 228 t;-;-;-;138,4 m;136 m;16,7 m;5,5 m;-;6 340 m²;6 340 m²;-;-;-;-;-;-;-;-;-;44.40x13.30;-;-;-;-;-;-;-;-
Nataly 1;Diesel;Russian Federation;273310912;8865951;UENC;107x16 m;3 082 t;3 977 t;11,6 kn;07 июня, 9:56; ; ;На Ходу;Ни одного;(Ø5,5 kn);3,5 m;26° ;171°;"47°12'25"" N 38°57'13"" E";In Service;Valletta;Navashino;Russian Maritime Register;1990;-;Steel;1040;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 766 / 2 402;375 rpm;-;-;-;-;Fixed Pitch;-;pereulok Spasonalivkovskiy 2-y, Moscow, 119991, Ru;119991;Moscow; ;+7 495 748 2085;+7 495 748 2086; ; ;3 977 t;3 082 t;1 042 t;-;-;-;107,4 m;101,2 m;16,7 m;5,5 m;-;-;4 403 m²;-;-;-;-;-;-;-;-;-;28.80x13.30;-;-;-;-;-;-;-;-
Volozero;Diesel;Russian Federation;273399100;8866852;UBKM2;107x16 m;3 082 t;3 709 t;11,6 kn;"<span title=""Сегодня, 11:28"">16мин назад</span>"; ; ;На Ходу;Ни одного;(Ø8,2 kn);3,7 m;341,6° ;343°;"47°35'59"" N 41°45'44"" E";In Service;Valletta;Navashino;Russian Maritime Register;1990;-;Steel;1039;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 766 / 2 402;375 rpm;-;-;-;-;Fixed Pitch;-;pereulok Spasonalivkovskiy 2-y, Moscow, 119991, Ru;119991;Moscow; ;+7 495 748 2085;+7 495 748 2086; ; ;3 709 t;3 082 t;1 042 t;-;-;-;107,4 m;100,2 m;16,7 m;5,5 m;-;-;4 403 m²;-;-;-;-;-;-;-;-;-;28.80x13.30;-;-;-;-;-;-;-;-
Voloyarvi;Diesel;Russian Federation;273391200;8866838;UBXN8;114x16 m;3 082 t;3 377 t;11,6 kn;"<span title=""Сегодня, 11:03"">42мин назад</span>"; ; ;На Ходу;Ни одного;(Ø5,5 kn);3,7 m;216,5° ;219°;"48°25'22"" N 44°30'02"" E";In Service;Valletta;Navashino;Russian Maritime Register;1990;-;Steel;1037;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 766 / 2 402;375 rpm;-;-;-;-;Fixed Pitch;-;pereulok Spasonalivkovskiy 2-y, Moscow, 119991, Ru;119991;Moscow; ;+7 495 748 2085;+7 495 748 2086; ; ;3 377 t;3 082 t;1 042 t;-;-;-;107,4 m;101,2 m;16,7 m;5,5 m;-;-;4 404 m²;-;-;-;-;-;-;-;-;-;28.80x13.30;-;-;-;-;-;-;-;-
Vts-1;Diesel;Russian Federation;273311680;8811649;UBOE9;82x12 m;1 557 t;1 849 t;11,2 kn;20 августа, 11:53; ; ;На Ходу;Ни одного;(Ø6,6 kn);3,6 m;293° ;286°;"43°51'25"" N 49°50'47"" E";In Service;Astrakhan;Rosslau;Russian Maritime Register;1988;-;Steel;-;-;-;8VD36/24A-1;-;882 / 1 200;500 rpm;-;-;-;-;Fixed Pitch;-;Office 509, ul Bakinskaya 128, Astrakhan, 414000, ;414000;Astrakhan; ;+7 851 233 7322;+7 851 234 2997; ; ;1 849 t;1 557 t;467 t;-;-;-;82 m;70,1 m;11,9 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vf Tanker-18;-;Russian Federation;273357390;9645073;UAYV;140x17 m;"<span title=""Сегодня, 9:03"">2ч 2мин назад</span>"; ; ;На Ходу;Ни одного;(Ø4,9 kn);2,8 m;70,2° ;-;"47°33'16"" N 41°21'38"" E"
Vf Tanker-19;-;Russian Federation;273356390;9645085;UAYF;141x17 m;"<span title=""Сегодня, 11:44"">только что</span>"; ; ;На Ходу;Ни одного;(Ø8,7 kn);3,4 m;63,6° ;-;"44°12'59"" N 34°33'03"" E"
Vf Tanker-9;-;Russian Federation;273355270;9640578;UBSI5;141x17 m;"<span title=""Сегодня, 1:11"">11ч назад</span>"; ; ;На Якоре;IMO Hazard B;(Ø0,2 kn);3,7 m;337,9° ;233°;"36°53'41"" N 53°22'19"" E"
Vf Tanker-3;-;Russian Federation;273353450;9640516;UBFI4;141x17 m;"<span title=""Сегодня, 11:44"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø9,6 kn);3,2 m;302,3° ;-;"53°09'37"" N 49°58'58"" E"
Vf Tanker-1;-;Russian Federation;273351450;9640499;UBFI2;141x17 m;"<span title=""Сегодня, 11:44"">только что</span>"; ; ;На Якоре;Ни одного;(Ø5,4 kn);3,4 m;2,5° ;244°;"45°28'52"" N 36°51'17"" E"
Vf Tanker-11;-;Russian Federation;273357860;9645009;UBRI8;142x17 m;Вчера, 21:31; ; ;На Ходу;IMO Hazard A;(Ø7,9 kn);3,7 m;288,7° ;291°;"58°03'03"" N 38°51'46"" E"
Vf Tanker-13;-;Russian Federation;273359170;9645023;UBSI3;141x17 m;"<span title=""Сегодня, 11:39"">5мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø6,9 kn);3,2 m;115,9° ;-;"39°59'37"" N 53°03'52"" E"
Vf Tanker-15;-;Russian Federation;273353180;9645047;UBUV;140x17 m;"<span title=""Сегодня, 5:51"">5ч 5мин назад</span>"; ; ;На Якоре;IMO Hazard A;(Ø5,4 kn);3,5 m;166,1° ;156°;"47°34'49"" N 40°54'08"" E"
Vf Tanker-16;-;Russian Federation;273354680;9645059;UDML;141x17 m;"<span title=""Сегодня, 11:43"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø6,5 kn);3,5 m;265,7° ;212°;"45°06'03"" N 36°35'02"" E"
Vf Tanker-17;-;Russian Federation;273355680;9645061;UDHR;141x17 m;"<span title=""Сегодня, 11:45"">только что</span>"; ; ;На Ходу;IMO Hazard B;(Ø6,9 kn);-;20,4° ;-;"46°49'34"" N 37°30'29"" E"
Vf Tanker-20;-;Russian Federation;273358390;9645097;UAYW;141x17 m;"<span title=""Сегодня, 11:45"">только что</span>"; ; ;На Ходу;Ни одного;(Ø7,6 kn);4,2 m;186,8° ;186°;"39°04'52"" N 53°16'52"" E"
Vf Tanker - 21;-;Russian Federation;273359390;9645102;UAYY;140x17 m;"<span title=""Сегодня, 11:45"">только что</span>"; ; ;На Якоре;IMO Hazard A;(Ø5,1 kn);3,5 m;238,2° ;234°;"47°11'32"" N 39°40'19"" E"
Vf Tanker-22;-;Russian Federation;273333670;9645114;UHTZ;140x17 m;"<span title=""Сегодня, 0:38"">11ч назад</span>"; ; ;На Ходу;Ни одного;(Ø5,8 kn);2,9 m;88,1° ;-;"47°35'11"" N 41°41'14"" E"
Vf Tanker-4;-;Russian Federation;273354450;9640528;UBFI5;141x17 m;"<span title=""Сегодня, 11:45"">только что</span>"; ; ;На Ходу;IMO Hazard A;(Ø6,9 kn);3,4 m;29° ;-;"48°43'08"" N 44°32'51"" E"
Vf Tanker-5;-;Russian Federation;273355450;9640530;UBFI6;141x17 m;"<span title=""Сегодня, 11:40"">6мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,2 m;44,2° ;-;"39°59'48"" N 53°03'53"" E"
Vf Tanker-6;-;Russian Federation;273359560;9640542;UBMI7;141x17 m;"<span title=""Сегодня, 11:42"">4мин назад</span>"; ; ;На Ходу;Ни одного;(Ø8 kn);3,5 m;219,1° ;214°;"48°26'12"" N 44°31'01"" E"
Vf Tanker-8;-;Russian Federation;273358860;9640566;UGBI;141x17 m;"<span title=""Сегодня, 11:38"">8мин назад</span>"; ; ;На Якоре;Ни одного;(Ø7,2 kn);-;215° ;180°;"39°17'42"" N 53°18'38"" E"
Vyborgskiy-1;Diesel-Electric;Russian Federation;273384060;6600620;UBQO9;82x14 m;2 102 t;1 960 t;12 kn;19 августа, 10:49; ; ;На Ходу;Ни одного;(Ø0 kn);4,2 m;-;-;"44°55'15"" N 48°57'38"" E";In Service;Basseterre;Sliedrecht;Russian Maritime Register;1966;-;Steel;CO505;-;Mirrlees;KSSDM-6;-;2 276 / 3 094;-;-;-;-;-;Fixed Pitch;-;Noliktavas iela 3, LV-1010 Riga, Latvia;LV-1010;Riga; ;+371 6732 2901;+371 6732 2901; ; ;1 960 t;2 102 t;630 t;-;-;-;81,9 m;75,7 m;13,5 m;5,8 m;-;-;-;-;-;-;-;-;D-2-6;Derrick;-;-;-;-;-;-;-;-;-;-;-
Gabdulla Tukay;Diesel;Russian Federation;273338400;8869361;UISY;105x16 m;2 829 t;4 000 t;10,8 kn;18 апреля, 12:22; ; ;На Ходу;Ни одного;(Ø2,7 kn);3,8 m;99,6° ;288°;"48°49'37"" N 44°43'08"" E";In Service;St Petersburg;Oltenita;Russian Maritime Register;1986;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;B-1-95;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;4 000 t;2 829 t;1 012 t;-;-;-;105,3 m;100,2 m;16,7 m;5,5 m;-;-;3 847 m²;-;-;-;-;-;-;-;-;-;28.20x13.22;-;-;-;-;-;-;-;-
Gabdulla Tukay;-;Russian Federation;273381900;9752498;UBUN2;140x17 m;"<span title=""Сегодня, 8:29"">3ч 3мин назад</span>"; ; ;На Ходу;IMO Hazard B;(Ø8,8 kn);4,1 m;231,3° ;227°;"39°59'09"" N 25°55'21"" E"
Gandurinskiy;Diesel;Russian Federation;273417310;8102074;UDZW;54x12 m;940 t;1 015 t;12,5 kn;"<span title=""Сегодня, 11:30"">16мин назад</span>"; ; ;На Ходу;Ни одного;(Ø0,3 kn);4,4 m;345,8° ;-;"44°55'52"" N 48°57'10"" E";In Service;Kaliningrad;Bordeaux;Russian Maritime Register;1982;-;Steel;1193;-;Wichmann;7AXAG;-;5 888 / 8 006;-;-;-;-;-;Controllable Pitch;-;ul Kiyevskaya 23, Kaliningrad, 236039, Russia;236039;Kaliningrad; ;+7 401 268 0022;+7 401 268 1999; ; ;1 015 t;940 t;282 t;-;-;-;53,6 m;47,9 m;11,5 m;5,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gaur;-;Russian Federation;273360110;8688925;UAWE8;51x12 m;"<span title=""Сегодня, 11:45"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø2,4 kn);2,2 m;244,8° ;-;"59°56'09"" N 30°17'07"" E"
Gafur Mammadov;Diesel;Azerbaijan;423039100;9340855;4JRN;108x16 m;4 182 t;5 489 t;10,5 kn;"<span title=""Сегодня, 11:46"">только что</span>"; ; ;На Ходу;Ни одного;(Ø6,3 kn);4,8 m;271° ;272°;"39°50'16"" N 52°44'00"" E";In Service;Panama City;Petrozavodsk;Russian Maritime Register;2005;-;Steel;-;-;-;6M20;-;2 040 / 2 774;900 rpm;-;-;-;-;Fixed Pitch;-;ul Rigachina 25, 185005 Petrozavodsk;185005;Petrozavodsk; ;+7 814 271 7401;+7 814 271 1255;-; ;5 489 t;4 182 t;2 373 t;-;-;-;108,3 m;102,2 m;16,7 m;5,5 m;-;-;7 831 m²;-;-;-;-;-;C-1-16;Cranes;-;-;-;-;-;-;-;-;-;-;-
Ghahraman 1;Diesel;Iran;422042800;8620038;EPCD7;1 539 t;1 660 t;11 kn;"<span title=""Сегодня, 11:46"">только что</span>"; ; ;На Ходу;Ни одного;(Ø0 kn);3,1 m;157,6° ;-;"37°27'42"" N 49°35'37"" E";In Service;Astrakhan;Rosslau;Russian Maritime Register;1986;-;Steel;323/3474;-;-;8NVDS36/24A-1;-;882 / 1 200;500 rpm;-;-;-;-;Fixed Pitch;-;ul Admiralteyskaya 53A, Astrakhan, 414040, Russia;414040;Astrakhan; ;+7 851 263 3494;+7 851 263 3494; ; ;1 660 t;1 539 t;528 t;-;-;-;82 m;78 m;11,6 m;-;-;-;1 940 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gelius 1;Diesel;Russian Federation;273357650;9407017;UGIA;90x16 m;2 678 t;3 510 t;11 kn;"<span title=""Сегодня, 11:46"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,5 kn);4,5 m;246° ;246°;"46°57'40"" N 38°04'36"" E";In Service;Charlestown;Gelibolu;Russian Maritime Register;2007;-;Steel;-;-;MAN B&W;6L28/32A;-;1 425 / 1 937;775 rpm;-;-;-;B-1-170;Controllable Pitch;-;Kat 3, Ilayda Is Merkezi, Yayabeyi Sokak 12;34810;Istanbul; ;+90 216 680 1515;+90 216 680 4535;-; ;3 510 t;2 678 t;1 374 t;-;-;-;90 m;84,8 m;15,9 m;5,8 m;-;-;5 016 m²;-;-;-;-;-;-;-;-;-;52.50x12.70;-;-;-;-;-;-;-;-
Gelius 2;Diesel;Russian Federation;273358650;9403487;UGJP;90x16 m;2 678 t;3 557 t;11 kn;"<span title=""Сегодня, 11:45"">только что</span>"; ; ;На Ходу;Ни одного;(Ø6,7 kn);4,5 m;256° ;253°;"44°46'34"" N 36°06'33"" E";In Service;Charlestown;-;Russian Maritime Register;2008;-;Steel;-;-;MAN B&W;6L28/32A;-;1 470 / 1 999;775 rpm;-;-;-;B-1-170;Controllable Pitch;-;Tersaneler Cad G 50, Sok No 9;34947;Istanbul; ;+90 216 493 2453;+90 216 493 2452;-; ;3 557 t;2 678 t;1 374 t;-;-;-;90 m;84,8 m;15,9 m;5,8 m;-;-;4 495 m²;-;-;-;-;-;Gearless;-;-;-;52.00x12.70;-;-;-;-;-;-;-;-
Gelius 3;Diesel;Russian Federation;273339630;9403499;UBYF5;89x15 m;2 678 t;3 557 t;11 kn;"<span title=""Сегодня, 11:43"">3мин назад</span>"; ; ;На Ходу;Ни одного;(Ø6,9 kn);4,5 m;201° ;204°;"46°15'01"" N 37°10'32"" E";In Service;Taganrog;-;Russian Maritime Register;2008;-;Steel;-;-;MAN B&W;6L28/32A;-;1 470 / 1 999;775 rpm;-;-;-;-;Controllable Pitch;-;Tersaneler Cad G 50, Sok No 9;34947;Istanbul; ;+90 216 493 2453;+90 216 493 2452;-; ;3 557 t;2 678 t;1 374 t;-;-;-;89,3 m;84,4 m;15,9 m;5,8 m;-;-;-;-;-;-;-;-;-;-;-;-;12.70x52.00;-;-;-;-;-;-;-;-
General Hazi Aslanov;Diesel;Russian Federation;273430870;9333577;UEJC;139x15 m;4 522 t;6 444 t;10 kn;"<span title=""Сегодня, 11:46"">только что</span>"; ; ;На Якоре;IMO Hazard B;(Ø0 kn);4,3 m;0,1° ;-;"47°10'21"" N 39°34'40"" E";In Service;Taganrog;Istanbul;Russian Maritime Register;2005;-;Steel;-;Double Hull;Wartsila;6L20;-;2 240 / 3 046;1 000 rpm;-;-;-;-;Directional;-;Tuzla Tersaneler Caddesi, 34944 Tuzla;34944;Istanbul; ;+90 216 446 7427;+90 216 395 3918;-; ;6 444 t;4 522 t;1 904 t;-;-;-;138,7 m;132,8 m;16,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7 221;-;-;-;U-6-150;-;-;-
Germes;Diesel;Russian Federation;273359640;8920945;UBAI6;28x8 m;220 t;239 t;12 kn;11 августа, 15:29; ; ;На Ходу;Ни одного;(Ø0 kn);2,9 m;-;-;"45°20'47"" N 36°35'47"" E";In Service;Astrakhan;Singapore;RMRS R2 ICE2;1990;-;Steel;1116;-;Detroit Diesel;16V-149-T;-;1 810 / 2 460;1 800 rpm;-;-;-;-;Fixed Pitch;-;2 off., 3 Semashko str.;344002;Rostov-on-Don; ;+7 863 2697704;+7 863 2697705; ; ;239 t;220 t;66 t;-;-;-;28 m;25,5 m;8,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Geroy Rossii Pyatnit;-;Russian Federation;273339870;9673214;UBJK8;140x16 m;"<span title=""Сегодня, 11:46"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,7 kn);4,1 m;177,9° ;179°;"40°22'18"" N 27°56'53"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;ul. Ventseka 1;443099;Samara; ;+7 846 310 6324;+7 846 310 6324; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gilda;Diesel;Iran;422585000;9367982;9BKV;140x17 m;5 676 t;6 750 t;10,5 kn;"<span title=""Сегодня, 11:46"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø2,9 kn);4,6 m;81° ;338°;"43°36'25"" N 51°13'08"" E";In Service;Bandar Anzali;Volgograd;Lloyds Register;2007;-;Steel;-;Double Bottom;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;B-1-200;Fixed Pitch;-;ul Arsenyeva 2, 400112 Volgograd;400112;Volgograd; ;+7 844 268 2507;+7 844 267 4389; ; ;6 750 t;5 676 t;3 300 t;-;-;-;140 m;135,7 m;16,7 m;-;-;-;10 956 m²;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Gipotiza;-;Russian Federation;273447110;7731866;UGXW;54x9 m;20 августа, 17:24; ; ;Ограниченная Маневренность;Ни одного;(Ø0,6 kn);-;327° ;-;"43°08'27"" N 48°34'28"" E"
Girvas;Diesel;Russian Federation;273331700;8875097;UBFW;105x16 m;2 902 t;4 159 t;10,5 kn;"<span title=""Сегодня, 11:46"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,6 kn);3,9 m;254,6° ;254°;"46°51'32"" N 37°31'48"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1981;-;Steel;-;-;Dvigatel Revolyutsii;G-60;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;4 159 t;2 902 t;1 037 t;-;-;-;105,9 m;99,6 m;16,7 m;5,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Glard-1;-;Russian Federation;273339480;9679373;UBNK7;140x17 m;"<span title=""Сегодня, 11:39"">8мин назад</span>"; ; ;На Якоре;IMO Hazard B;(Ø3,4 kn);3,1 m;347,2° ;-;"39°42'44"" N 53°09'39"" E"
Gloria;Diesel;Russian Federation;273353340;9602825;UBVH2;140x17 m;5 123 t;7 400 t;10 kn;"<span title=""Сегодня, 6:33"">5ч 5мин назад</span>"; ; ;На Якоре;Ни одного;(Ø4,6 kn);4,5 m;-;276°;"47°35'47"" N 41°36'29"" E";Under Construction;Valletta;Yangzhou, Jiangsu;Registro Italiano Navale;2011;-;Steel;HCR0807;Double Hull;Wartsila;-;-;2 400 / 3 264;1 000 rpm;-;-;-;-;Fixed Pitch;-;Wangjicun, Hangji Zhen, Haijiang Qu;225111;Yangzhou, Jiangsu; ;+86 514 8727 9055;+86 514 8749 9478; ; ;7 400 t;5 123 t;1 757 t;6 247 t;-;-;139,9 m;136,6 m;16,9 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Graf;Diesel;Russian Federation;273348700;8726208;UDYX;119x14 m;2 615 t;3 280 t;11 kn;"<span title=""Сегодня, 11:43"">5мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø4,3 kn);3,8 m;167,7° ;326°;"46°25'36"" N 47°59'08"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1986;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;ul Ostrovnaya 2, Moscow, 121552, Russia;121552;Moscow; ;+7 495 234 5247;+7 495 234 5248; ; ;3 280 t;2 615 t;1 144 t;-;-;-;119 m;112,8 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Grigoriy Bugrov;Diesel;Russian Federation;273275100;8848628;UABU;133x17 m;4 098 t;6 611 t;10 kn;Вчера, 21:05; ; ;На Ходу;IMO Hazard A;(Ø5 kn);4,5 m;243,4° ;242°;"53°09'15"" N 49°34'47"" E";In Service;Astrakhan;Volgograd;Russian Maritime Register;1974;-;Steel;-;Double Hull;-;8NVD48-2U;-;1 472 / 2 002;-;-;-;-;-;Fixed Pitch;-;ul Arsenyeva 2, 400112 Volgograd;400112;Volgograd; ;+7 844 268 2507;+7 844 267 4389; ; ;6 611 t;4 098 t;1 974 t;-;-;-;132,6 m;124,7 m;16,9 m;5,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;6 200;-;-;-;P-2-450;-;-;-
Gunib;-;Russian Federation;273618000;6875859;UGAL;39x7 m;01 января 1970, 3:00; ; ;Не Под Управлением;Ни одного;(Ø-1 kn);-;-;-; 
Ganja;-;Azerbaijan;423457100;9813565;4JRS;141x17 m;"<span title=""Сегодня, 11:47"">только что</span>"; ; ;На Ходу;Ни одного;(Ø7,8 kn);3,1 m;0,8° ;122°;"40°21'00"" N 49°54'28"" E"
Danapris 1;Diesel;Russian Federation;273360870;8889373;UBRJ8;108x15 m;2 360 t;3 183 t;10 kn;20 августа, 23:30; ; ;На Ходу;Ни одного;(Ø6,1 kn);3,2 m;54,1° ;-;"51°39'03"" N 46°16'07"" E";In Service;Kherson;Oltenita;Russian Maritime Register;1977;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 183 t;2 360 t;870 t;-;-;-;108,4 m;105 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"""Danapris 5""";Diesel;Russian Federation;273332670;8887387;UFFT;108x15 m;2 453 t;2 916 t;10 kn;Вчера, 23:32; ; ;На Ходу;Ни одного;(Ø4,8 kn);3,1 m;316,4° ;305°;"47°09'53"" N 47°14'06"" E";In Service;Kherson;Oltenita;-;1987;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;2 916 t;2 453 t;885 t;-;-;-;108,4 m;102,6 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
404
Dahi Byulbyul;Diesel;Russian Federation;273430590;9342657;UHQX;138x16 m;4 534 t;6 444 t;10 kn;"<span title=""Сегодня, 11:42"">5мин назад</span>"; ; ;На Якоре;Ни одного;(Ø6,2 kn);4,3 m;0,1° ;219°;"45°22'42"" N 37°21'04"" E";In Service;Taganrog;Istanbul;Russian Maritime Register;2005;-;Steel;-;Double Hull;Wartsila;6L20;-;2 240 / 3 046;1 000 rpm;-;-;-;B-1-230;Directional;-;Tuzla Tersaneler Caddesi, 34944 Tuzla;34944;Istanbul; ;+90 216 446 7427;+90 216 395 3918;-; ;6 444 t;4 534 t;1 904 t;-;-;-;138,7 m;132,8 m;16,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7 221;-;-;-;U-6-150;-;-;-
Dvina;Diesel;Russian Federation;273419410;8866773;UIYL;108x14 m;2 426 t;3 174 t;"<span title=""Сегодня, 6:54"">4ч 4мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,3 m;-;346°;"56°49'52"" N 35°58'47"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1983;-;Steel;-;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 174 t;2 426 t;966 t;-;-;-;108,4 m;101,8 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Desire;Diesel;Russian Federation;273335110;8866814;UBCF9;109x15 m;2 426 t;3 174 t;10,1 kn;07 октября, 9:25; ; ;На Якоре;Ни одного;(Ø0 kn);3,3 m;50,1° ;-;"46°17'20"" N 47°58'01"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1986;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 174 t;2 426 t;956 t;-;-;-;108,4 m;101,8 m;15 m;-;-;4 340 m²;4 360 m²;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Desna;"
              Не Судно
            ";Russian Federation;273424900;8929018;UDHC;55x12 m;"<span title=""Сегодня, 3:19"">8ч назад</span>"; ; ;На Якоре;Ни одного;(Ø3 kn);3,6 m;152,1° ;257°;"54°57'43"" N 20°20'02"" E"
