flag;owner;name;me;owner_city;number;gt;state;port;imo;type;address;country;owner_country;mmsi;email;year;phone;dwt;owner_site
Россия;"""Палмали"", ООО";AGSU;WARTSILA; Ростов-на-Дону;070380;7833;;Таганрог;9503304;Танкер; 344000, пр. Буденновский, д. 2;Россия; Россия, ;273335920;kadry@palmali-r.ru;2008; +7(863)268-81-94, ;13030;http://www.palcrewing.ru
Иран;;ADRINA;8 VD 36/24 A-1; Ростов-на-Дону;793822;1575;;Неизвестен;8031433;Ген. груз; 344000, пр. Буденновский, д. 2;Германия; Россия, ;422052400;kadry@palmali-r.ru;1980; +7(863)268-81-94, ;2235;http://www.palcrewing.ru
Россия;"""ARMADA TRADING-5 CO"", LTD";AZERI KARABAKH;6L20 Wartsila; Стамбул;040277;4534;Эксплуатируется;Таганрог;9352705;Танкер;" Palazzo Pietro Stages, 90 Strait Street, Valletta, Malta; c/o Palmali Shipping Services &amp; Agency Co. Ltd: Ebulula Cad. Maya Siteleri No:1 L-Blok, Akatlar, 34335 Istanbul, Turkey";Турция; Турция, ;273318810;;2005; 90(212) 3500900, 2521178, ;6526;
Россия;"""ГК ""Астон"", ООО";AZOV;"B&amp;W"; Ростов-на-Дону;855547;1910;Эксплуатируется;Таганрог;8943260;Танкер; 344002 ,ул. 1-я Луговая, 3 б.;; Россия, ;273437770;Kalinin_k@aston.ru;1985;;2704;http://aston.ru/
Россия;"""Далир"", ООО";AIDA;6NVD 48A-U; Астрахань;641542;1972;;Астрахань;6703769;Ген. груз; 414041, ул. Адмиралтейская-Кожанова, 54/1;; Россия, ;273445070;;1965; +7 (8512) 36-95-92, (927) 569-88-01, ;2802;
Россия;"""Далир"", ООО";AIDA;6NVD 48A-U; Астрахань;641542;1972;;Астрахань;9757450;Ген. груз; 414041, ул. Адмиралтейская-Кожанова, 54/1;; Россия, ;273445070;;1965; +7 (8512) 36-95-92, (927) 569-88-01, ;2802;
Россия;"""Аксиома"", ООО";АКСИОМА;----; Астрахань;790319;635;;Астрахань;7828499;Плавбаза; 414028,  улица Адмирала Нахимова, д. 70A, оф. 219;; Россия, ;;;1979; +7(8512)38-44-08, +7(8512)38-23-68, ;405;
Казахстан;"""NMSC ""Kazmortransflot"", LLP";AKTOBE;D 2842 LE 301; Актау;080166;7852;;Актау;9492842;Танкер продуктовоз; 130000,14 мкр. 70 зд., Бизнес-центр;Россия; Казахстан, ;436000141;;2010; + 7(7292)53-58-90, ;13005;
;;;; Актау;;;;;9101235;; 130000,14 мкр. 70 зд., Бизнес-центр;; Казахстан, ;;;; + 7(7292)53-58-90, ;;
Россия;"""FOXTROT SHIPPING CO"", LTD";ALEKSANDR ANTONOV;G-70; Маджуро;866607;5216;Эксплуатируется;Таганрог;8972261;Ген. груз; Ajeltake Island, Majuro, Marshall Islands, MH 96960;; Маршалловы острова, ;273310450;;1986; +7 90(216) 4894480, ;6088;
Россия;"""Газтехлизинг"", ООО";ALEKSANDR SHEMAGIN;Wartsila 6L20; Москва;101178;4541;Эксплуатируется;Санкт-Петербург;9612909;Танкер; ул. Миклухо-Маклая, д. 40;Россия; Россия, ;273352260;;2012; +7(495)663-88-77, ;6613;
Россия;"""Классик"", ООО";ALIKBER PASHAEV;DEUTZ; Москва;932141;1589;;Махачкала;9103817;Ген. груз; 109240, улица Гончарная, 16, строение 1;; Россия, ;273191000;;1994; +7(495) 9165832, 9157860, ;2683;
Россия;;ALIOT;6NVD 48A-2U; Москва;793957;2463;Эксплуатируется;Калининград;8878374;Ген. груз; 109240, улица Гончарная, 16, строение 1;Россия; Россия, ;273353420;;1979; +7(495) 9165832, 9157860, ;3022;
Казахстан;"""NMSC ""Kazmortransflot"", LLP";ALMATY;ДКРН 26/98; Актау;040192;7224;Эксплуатируется;Актау;9323106;Танкер; 130000,14 мкр. 70 зд., Бизнес-центр;Россия; Казахстан, ;436000032;;1997; + 7(7292)53-58-90, ;12368;
Казахстан;"""Circle Maritime Invest"", LLP";ALPAMYS;----; Алматы;050743;296;;Актау;9400253;Буксир; 050016, пр.Рыймбека 160 А, офис 504;Нидерланды; Казахстан, ;436000296;;2006; +7(727) 258-3567, ;182;
Россия;"""Prime Shipping"", Ltd";ALFEO;Henan; Самара;110220;499;Эксплуатируется;Таганрог;9631163;Буксир; 443099, ул. М. Горького, 78 В;Россия; Россия, ;273356460;;2012; +7(846)373-80-30,+7(846)373-80-67, ;224;
Россия;;ALBATROS 1;MAK 6M45; Самара;;639;;Неизвестен;6724397;Научно-исследовательское судно; 443099, ул. М. Горького, 78 В;; Россия, ;273327450;;1967; +7(846)373-80-30,+7(846)373-80-67, ;369;
Россия;"""Трансоптимал Санкт-Петербург"", ООО";AMUR 2506;6-27.5 A2L; Санкт-Петербург;842922;3086;Эксплуатируется;Санкт-Петербург;8721325;Ген. груз;" 197227, Комендантская площадь, д. 11 ""Миллер""-Центр, Блок A, офис 37 ";Словакия; Россия, ;273333100;;1985; +7(921)885-02-77, ;3340;
Россия;"""Трансоптимал Санкт-Петербург"", ООО";AMUR 2506;6-27.5 A2L; Санкт-Петербург;842922;3086;Эксплуатируется;Санкт-Петербург;8721313;Ген. груз;" 197227, Комендантская площадь, д. 11 ""Миллер""-Центр, Блок A, офис 37 ";Словакия; Россия, ;273333100;;1985; +7(921)885-02-77, ;3340;
Россия;"""Метшип"", ООО";AMUR 2522;6-27,5 AL; Москва;875555;3086;Эксплуатируется;Астрахань;8721480;Ген. груз; ул.Островная, 2, 121552;; Россия, ;273330100;;1987; +7 (495) 234-52-47, ;3329;
Россия;"""FORTEZA TRADING"", LTD";AMUR 2526;6-27,5 AL; Тортола;884126;3086;Эксплуатируется;Архангельск;8721521;Ген. груз; Geneva Place, Waterfront Drive, P.O. Box 3469,Road Town, Totola, British Virgin Islands;; Виргинские острова (Британские), ;273366000;;1988;;3332;
;;;; Тортола;;;;;9618721;; Geneva Place, Waterfront Drive, P.O. Box 3469,Road Town, Totola, British Virgin Islands;; Виргинские острова (Британские), ;;;;;;
Россия;;ANDOR;6L27, 5III2AL; Тортола;744058;2457;Эксплуатируется;Неизвестен;8230285;Ген. груз; Geneva Place, Waterfront Drive, P.O. Box 3469,Road Town, Totola, British Virgin Islands;; Виргинские острова (Британские), ;273383040;;1974;;3474;
Россия;"""Волготранс"", ООО";ANDROPOV;6VDS 29/24 AL-1; Самара;931514;3584;Эксплуатируется;Астрахань;9269348;Танкер; 443042, ул. Белорусская, д. 134;Россия; Россия, ;273450240;;2004; +7(846)273-92-59, ;4585;
;;SM SUPPORTER;MWM/TBD441V12; Самара;;;;;7392634;Оффшорное судно снабжения; 443042, ул. Белорусская, д. 134;; Россия, ;;;; +7(846)273-92-59, ;;
Россия;"""Меридиан"", ООО";ARBAT;"MAN B&amp;W"; Астрахань;846463;1772;Эксплуатируется;Астрахань;8956607;Ген. груз; 414057, ул. Николая Островского, 130, литер А;Сербия; Россия, ;273421660;;1986; (8632) 69-47-23, ;1973;
Россия;"""ARESSA SHIPPING"", OU";ARESSA;6NVD 48A-2U;;772043;1926;;Санкт-Петербург;7612498;Ген. груз; Tortola, British Virgin Islands;Финляндия;;273334930;;1978;;2649;
Россия;"""ARESSA SHIPPING"", OU";ARESSA;6NVD 48A-2U;;772043;1926;;Санкт-Петербург;9581904;Ген. груз; Tortola, British Virgin Islands;Финляндия;;273334930;;1978;;2649;
Россия;"""ARESSA SHIPPING"", OU";ARESSA;6NVD 48A-2U;;772043;1926;;Санкт-Петербург;9658288;Ген. груз; Tortola, British Virgin Islands;Финляндия;;273334930;;1978;;2649;
Казахстан;"""ARCTICBORG"", B.V.";ARCTICABORG;Wartsila 6L26;;980198;1453;;Актау;9184976;Многоцелевое судно обеспечения; 10, Marktstraat, P.O.Box 14, 9934 CK, 9930 AA, Delfzijl, The The Netherlands;Финляндия;;436000001;;1998; +7 31(596) 636911, ;675;
Россия;"""FLESTINA SHIPPING CO"", LTD";FLESTINA 7;8VDS36/24A-1; Тортола;785109;1589;;Астрахань;7404839;Ген. груз;" Tortola, Virgin Islands, British; 

 ООО КФ Даф: Россия, 414024 Астрахань, Приволжский затон, улица Набережная 11/10";Германия; Виргинские острова (Британские), ;273434690;;1979; +7 (8215) 220976, 227161, ;2235;
;;"<div class=""sh-flag f32 noPrint"" title=""Россия, Санкт-Петербург""><span class=""flag ru""></span><span>RU</span></div>";; Тортола;;;;;8889402;;" Tortola, Virgin Islands, British; 

 ООО КФ Даф: Россия, 414024 Астрахань, Приволжский затон, улица Набережная 11/10";; Виргинские острова (Британские), ;;;; +7 (8215) 220976, 227161, ;;
Россия;"""Палмали Армада Шипъярд"", Группа компаний";ARMADA LEADER;Wartsila;;010139;4522;Эксплуатируется;Таганрог;9260483;Танкер; Kocaeli Serbest Bölgesi Sepetlipınar Serbest Bölge Mahallesi, 104. Cadde No: 10 41275 Başiskele, Kocaeli - Türkiye;Турция;;273448000;;2002; +90 (0262) 341 43 83  , ;6477;
Россия;"""ARMADA TRADING-2 CO"", LTD";ARMADA NAVIGATOR;6L20; Стамбул;040031;4522;Эксплуатируется;Таганрог;9314727;Танкер;" 90, Strait Street, Palazzo Pietro Stiges, Valletta, LTOS, Malta; c/o Palmali Shipping Co. Ltd: Ebulula cad.Maya Siteleri No: 1L-Block Akatlar 34335, Istanbul, Turkey";Турция; Турция, ;273437560;;2004; 90(212) 3500900, ;6444;
Россия;"""ARMADA TRADING-1 CO"", LTD";ARMADA TRADER;Wartsila; Стамбул;030152;4522;;Таганрог;9297199;Танкер;" Palazzo Pietro Stages, 90, Strait Street, Palazzo Pietro Stiges, Valletta, Malta; c/o Palmali Shipping Co. Ltd: Ebulula cad.Maya Siteleri No: 1L-Block Akatlar 34335, Istanbul, Turkey";Турция; Турция, ;273440780;;2004; 90(212) 3500900, ;6477;
Казахстан;;ARMANBORG;САТ3512В; Стамбул;;622;;Неизвестен;8959879;Буксир;" Palazzo Pietro Stages, 90, Strait Street, Palazzo Pietro Stiges, Valletta, Malta; c/o Palmali Shipping Co. Ltd: Ebulula cad.Maya Siteleri No: 1L-Block Akatlar 34335, Istanbul, Turkey";; Турция, ;436000148;;1989; 90(212) 3500900, ;381;
Казахстан;"""NMSC ""Kazmortransflot"", LLP";ASTANA;ДКРН 26/98; Актау;040101;7224;;Актау;9323091;Танкер; 130000,14 мкр. 70 зд., Бизнес-центр;Россия; Казахстан, ;436000027;;2004; + 7(7292)53-58-90, ;12360;
Россия;"""ГК ""Астон"", ООО";ASTON CHALLENGER;6T23LU-2; Ростов-на-Дону;845916;1914;Эксплуатируется;Таганрог;8883252;Танкер; 344002 ,ул. 1-я Луговая, 3 б.;; Россия, ;273454720;Kalinin_k@aston.ru;1985;;2576;http://aston.ru/
;;"<div class=""sh-flag f32 noPrint"" title=""Россия, Санкт-Петербург""><span class=""flag ru""></span><span>RU</span></div>";; Ростов-на-Дону;;;;;8881292;; 344002 ,ул. 1-я Луговая, 3 б.;; Россия, ;;Kalinin_k@aston.ru;;;;http://aston.ru/
Россия;"""Транс-сервис"", ООО";ASTRAKHAN CITY;SKL 8NVDS 48A-2; Ростов-на-Дону;930907;4409;;Астрахань;9080156;Танкер; 344006, Кировский пр-кт, 45, лит. Г, оф. 5;Болгария; Россия, ;273348300;;1994;;5776;
;;"<div class=""sh-flag f32 noPrint"" title=""Россия, Санкт-Петербург""><span class=""flag ru""></span><span>RU</span></div>";; Ростов-на-Дону;;;;;8867301;; 344006, Кировский пр-кт, 45, лит. Г, оф. 5;; Россия, ;;;;;;
Казахстан;"""NMSC ""Kazmortransflot"", LLP";ATYRAU;9L20; Актау;080151;7848;;Актау;9539810;Танкер; 130000,14 мкр. 70 зд., Бизнес-центр;Россия; Казахстан, ;436000139;;2009; + 7(7292)53-58-90, ;13470;
Россия;;BALT FLOT 12;----; Актау;;5089;Строится;Неизвестен;9804241;Танкер; 130000,14 мкр. 70 зд., Бизнес-центр;; Казахстан, ;273380460;;; + 7(7292)53-58-90, ;7013;
Россия;"""Тураш"", ООО";BALTIYSKIY 40;6 NVD; Астрахань;641557;1948;Эксплуатируется;Астрахань;6703771;Ген. груз; 414000, ул. Бакинская, 128, оф. 611;; Россия, ;273434910;;1965; +7 (8512) 390-555, ;2817;
;;;; Астрахань;;;;;7941239;; 414000, ул. Бакинская, 128, оф. 611;; Россия, ;;;; +7 (8512) 390-555, ;;
Казахстан;"""Circle Maritime Invest"", LLP";BATYRKHAN;----; Алматы;060463;294;;Актау;9384277;Буксир; 050016, пр.Рыймбека 160 А, офис 504;Нидерланды; Казахстан, ;436000298;;2007; +7(727) 258-3567, ;267;
Россия;;BASHIR SAFAROGLU;Wartsila 6L20; Алматы;070153;4681;Эксплуатируется;Таганрог;9435351;Танкер; 050016, пр.Рыймбека 160 А, офис 504;Россия; Казахстан, ;273336920;;2008; +7(727) 258-3567, ;5230;
;;;; Алматы;;;;;8943210;; 050016, пр.Рыймбека 160 А, офис 504;; Казахстан, ;;;; +7(727) 258-3567, ;;
;;;; Алматы;;;;;9519236;; 050016, пр.Рыймбека 160 А, офис 504;; Казахстан, ;;;; +7(727) 258-3567, ;;
Россия;"""Голубая Волна"", СК ООО";BERYL;6NVD 48-2U; Азов;814388;2454;Эксплуатируется;Таганрог;8899976;Ген. груз; ул. Калинина 2;Румыния; Россия, ;273419510;;1982; +7(863)425-20-10, ;3201;
Россия;"""FLESTINA SHIPPING CO"", LTD";FLESTINA 5;----; Тортола;773845;1575;;Астрахань;8868537;Ген. груз;" Tortola, Virgin Islands, British; 

 ООО КФ Даф: Россия, 414024 Астрахань, Приволжский затон, улица Набережная 11/10";Германия; Виргинские острова (Британские), ;273446690;;1978; +7 (8215) 220976, 227161, ;1170;
Россия;"""FLESTINA SHIPPING CO"", LTD";FLESTINA 5;----; Тортола;773845;1575;;Астрахань;8685947;Ген. груз;" Tortola, Virgin Islands, British; 

 ООО КФ Даф: Россия, 414024 Астрахань, Приволжский затон, улица Набережная 11/10";Германия; Виргинские острова (Британские), ;273446690;;1978; +7 (8215) 220976, 227161, ;1170;
Казахстан;;BUE OB;Caterpillar; Тортола;;72;;Неизвестен;9358993;Пассажирское судно;" Tortola, Virgin Islands, British; 

 ООО КФ Даф: Россия, 414024 Астрахань, Приволжский затон, улица Набережная 11/10";; Виргинские острова (Британские), ;436000302;;2006; +7 (8215) 220976, 227161, ;5;
Казахстан;;BUE CHU;----; Тортола;;537;;Неизвестен;9358333;Буксир;" Tortola, Virgin Islands, British; 

 ООО КФ Даф: Россия, 414024 Астрахань, Приволжский затон, улица Набережная 11/10";; Виргинские острова (Британские), ;436000306;;2005; +7 (8215) 220976, 227161, ;468;
Мальта;;BLUE LAKE STAR;6L20; Тортола;;4684;;Неизвестен;9729582;Танкер;" Tortola, Virgin Islands, British; 

 ООО КФ Даф: Россия, 414024 Астрахань, Приволжский затон, улица Набережная 11/10";; Виргинские острова (Британские), ;273392110;;2015; +7 (8215) 220976, 227161, ;7071;
Россия;"""Арматор"", ООО";BORODINO;6l20; Санкт-Петербург;040366;4378;;Санкт-Петербург;9340881;Танкер; 197101, Певческий переулок, д. 14;Россия; Россия, ;273433790;;2005; +7(812)702-18-82, ;5600;
Иран;"""Caspian BBonyad Anzali free zone Shipping Co"", Ltd";BOSCOGILAN;6VDS29/24AL2;;970016;4978;Эксплуатируется;Бендер Энзели;9188752;Ген. груз; No.38, Gandhi Ave., Tehran 15177, Iran;Россия;;422872000;;1999; +7 98(21) 8887-3474, ;6225;
;;;;;;;;;9035369;; No.38, Gandhi Ave., Tehran 15177, Iran;;;;;; +7 98(21) 8887-3474, ;;
Россия;"""Палмали"", ООО";BROTHERS 7;6NVDS 48A-2U; Ростов-на-Дону;930023;2870;;Таганрог;9035383;Танкер; 344000, пр. Буденновский, д. 2;Болгария; Россия, ;273422810;kadry@palmali-r.ru;1993; +7(863)268-81-94, ;3394;http://www.palcrewing.ru
Россия;"""Палмали"", ООО";BROTHERS 2;SKL; Ростов-на-Дону;931539;2878;;Таганрог;9113276;Танкер; 344000, пр. Буденновский, д. 2;Болгария; Россия, ;273454260;kadry@palmali-r.ru;1995; +7(863)268-81-94, ;3602;http://www.palcrewing.ru
Россия;"""Палмали"", ООО";BROTHERS 4;6NVDS 48A-2U; Ростов-на-Дону;845831;2863;;Таганрог;8848020;Танкер; 344000, пр. Буденновский, д. 2;Болгария; Россия, ;273458180;kadry@palmali-r.ru;1985; +7(863)268-81-94, ;3774;http://www.palcrewing.ru
Россия;"""Авиакомпания Баркол"", ООО";BUMERANG;6L20T; Москва;846435;1778;Эксплуатируется;Махачкала;8942656;Ген. груз; Россия, 121351 Москва, ул.Молдогвардейская, 61;; Россия, ;273420860;;1986; +7 (499) 589-13-58, ;1250;
Россия;;BUMI NARYAN MAR;----; Москва;;2893;;Неизвестен;9758179;Оффшорное судно снабжения; Россия, 121351 Москва, ул.Молдогвардейская, 61;; Россия, ;273381020;;; +7 (499) 589-13-58, ;1315;
Россия;;BUMI POKACHI;----; Москва;;2888;;Неизвестен;9756511;Буксир; Россия, 121351 Москва, ул.Молдогвардейская, 61;; Россия, ;273380020;;; +7 (499) 589-13-58, ;1303;
Россия;;BUMI URAY;WARTSILA 8L26; Москва;;2888;;Неизвестен;9756509;Оффшорное судно снабжения; Россия, 121351 Москва, ул.Молдогвардейская, 61;; Россия, ;273389910;;2015; +7 (499) 589-13-58, ;1280;
;;;; Москва;;;;;9092329;; Россия, 121351 Москва, ул.Молдогвардейская, 61;; Россия, ;;;; +7 (499) 589-13-58, ;;
Россия;"""Газтехлизинг"", ООО";VALENTIN GRUZDEV;Wartsila 6L20; Москва;120594;5378;Эксплуатируется;Санкт-Петербург;9683714;Танкер; ул. Миклухо-Маклая, д. 40;Россия; Россия, ;273331580;;2014; +7(495)663-88-77, ;6980;
Россия;;VALERIY GLUKHOV;SKL; Москва;;2615;;Неизвестен;8133669;Нефтерудовоз; ул. Миклухо-Маклая, д. 40;; Россия, ;273393000;;1982; +7(495)663-88-77, ;3345;
Россия;"""ANNAKA ASSOCIATED"", S.A.";VALERIY KALACHEV;6NVD48AV;;800313;2615;;Махачкала;7945558;Нефтерудовоз; Pasea Estate, Road Town, Tortola, British Virgin Islands;;;273435610;;1980;;3345;
Россия;"""Донречфлот"", ОАО";VALERY KOKOV;6CHRN36/45; Ростов-на-Дону;906024;4997;;Таганрог;8859328;Ген. груз; 344019, ул.Советская, д. 63, 5 этаж;Россия; Россия, ;273377000;adk@adship.ru;1991; +7(863)200-37-12, +7(863)253-39-44 , ;5361;http://donrechflot.com/
Россия;"""Оптовая фирма Вафа РФ"", ООО";VAFA;8 VD 36/24 A-1; Астрахань;835647;1575;;Астрахань;8422670;Ген. груз; 414024, ул. Генерала Епишева, 20 Д;Германия; Россия, ;273370900;;1984; +7 (8512) 347434, ;2161;
Иран;;VAFA 2;6NVDS; Астрахань;;1846;Эксплуатируется;Бендер Энзели;8869919;Ген. груз; 414024, ул. Генерала Епишева, 20 Д;Россия; Россия, ;422915000;;1987; +7 (8512) 347434, ;2755;
Иран;;VAFA 2;6NVDS; Астрахань;;1846;Эксплуатируется;Бендер Энзели;8422682;Ген. груз; 414024, ул. Генерала Епишева, 20 Д;Россия; Россия, ;422915000;;1987; +7 (8512) 347434, ;2755;
Иран;;VAFA 3;6-27,5 AL; Астрахань;842918;3086;Эксплуатируется;Неизвестен;8721301;Ген. груз; 414024, ул. Генерала Епишева, 20 Д;; Россия, ;422058700;;1984; +7 (8512) 347434, ;3152;
Россия;;VEPR;----; Астрахань;;841;;Неизвестен;8892021;Буксир; 414024, ул. Генерала Епишева, 20 Д;; Россия, ;273455070;;1986; +7 (8512) 347434, ;197;
Россия;"""Глобал-Флот"", ООО";VZMORYE;MAK 8 M25; Светлый;060088;1788;;Калининград;9380192;Многоцелевое судно обеспечения; 238340, ул. Гагарина , д. 61;Сингапур; Россия, ;273318770;;2007; +7(4012)350-887, ;980;
Иран;"""Khazar Sea Shipping Lines"", Ltd";VIANA;8 NVDS 48A-2U; Бандар Анзали;903986;3638;;Бендер Энзели;9010723;Ген. груз; M. Khomeini St., Ghazian, Anzali, Gilan, Iran, PO Box 43145/1711-324;Болгария; Иран, ;422110000;;1992; +7 98(181) 322-3801, 322-3802, 322-3803, ;3955;
Россия;"""Судоходная компания Ладога"", ООО";VIZANTIN;6NVD 48A-U; Астрахань;730454;2491;;Астрахань;7320710;Ген. груз; ул. Набережная Приволжского затона, 20 А, 2-й этаж, 414014;; Россия, ;273420740;;1973; +7(8512) 38-29-95, 38-29-77, ;3346;
Россия;"""SAILDUKE MARITIME"", LTD";VIKING;6NVD 48A-2U; Маджуро;865939;2451;Эксплуатируется;Таганрог;8899988;Ген. груз;" Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Marshall Islands MH 96960; c/o Sailtrade Denizcilik ve Ticaret Ltd.Sti.: Nispetiye cad. Dilhayat Sokak No.24 34337, Etiler, Istanbul, Turkey";; Маршалловы острова, ;273332410;;1986; +7 90(212) 2879721, ;3197;
Россия;"""BRANDEX GROUP"", LTD";VICOUNT;6NVD 48A-U;;744147;2613;;Астрахань;7611212;Танкер; P.O.Box 3321, Road Town, Tortola, British Virgin Islands;;;273450650;;1975;;3345;
Россия;"""Донречфлот"", ОАО";VIKTOR MARTYNENKO;----; Ростов-на-Дону;922991;5088;;Таганрог;8945086;Ген. груз; 344019, ул.Советская, д. 63, 5 этаж;Россия; Россия, ;273345930;adk@adship.ru;1992; +7(863)200-37-12, +7(863)253-39-44 , ;5346;http://donrechflot.com/
Россия;"""ТТФ"", ООО";VICTORIA;Wartsila; Москва;;5077;Эксплуатируется;Таганрог;9784893;Танкер; 119048, ул. Лужники, д.24, к.19;Россия; Россия, ;273382620;;; +7(495)937-77-33, ;7005;
Россия;"""Инвествесттрансгрупп"", ООО";VILGA;6NVDS 48A-2U; Москва;931492;2878;Эксплуатируется;Астрахань;9109811;Танкер; ул.Правды 8 корп.35;Болгария; Россия, ;273447490;;1995; +7(495) 6376541, ;3602;
Россия;;VILESH RIVER;Wartsila; Москва;070179;4681;Эксплуатируется;Таганрог;9435375;Танкер; ул.Правды 8 корп.35;Россия; Россия, ;273332530;;2009; +7(495) 6376541, ;7008;
Россия;;VILESH RIVER;Wartsila; Москва;070179;4681;Эксплуатируется;Таганрог;9010711;Танкер; ул.Правды 8 корп.35;Россия; Россия, ;273332530;;2009; +7(495) 6376541, ;7008;
Россия;"""Арматор"", ООО";VLADIMIR;Wartsila; Санкт-Петербург;030186;4378;;Санкт-Петербург;9313589;Танкер; 197101, Певческий переулок, д. 14;Россия; Россия, ;273445480;;2004; +7(812)702-18-82, ;5600;
;;;; Санкт-Петербург;;;;;9618719;; 197101, Певческий переулок, д. 14;; Россия, ;;;; +7(812)702-18-82, ;;
Россия;"""ВолгоБалт Шип"", ООО";VODLA 2;6L275III2AL; Петрозаводск;821305;2554;Эксплуатируется;Санкт-Петербург;8230572;Ген. груз; 185035, Неглинская наб., 11;; Россия, ;273328100;;1983; +7(8142) 775097, ;3220;
Россия;"""Евразийская судоходная компания"", ООО";VOLGA 35;SKL; Санкт-Петербург;940491;1663;Эксплуатируется;Санкт-Петербург;9133197;Ген. груз; 197101, Певческий пер., д.14;Россия; Россия, ;273342000;;1995; (812) 702-18-84, ;5885;
Россия;"""Евразийская судоходная компания"", ООО";VOLGA 35;SKL; Санкт-Петербург;940491;1663;Эксплуатируется;Санкт-Петербург;9252905;Ген. груз; 197101, Певческий пер., д.14;Россия; Россия, ;273342000;;1995; (812) 702-18-84, ;5885;
Россия;"""Земланд Шиппинг"", ООО";VOLGO BALT 190;6L275III2AL; Москва;744166;2457;Эксплуатируется;Астрахань;8857928;Ген. груз; 119607, ул. Раменки, д.17 к.1;Россия; Россия, ;273318700;;1976; +7(495)780-62-26, ;3474;
Россия;;VOLGO BALT 225;----; Москва;;;Эксплуатируется;Неизвестен;8230431;Ген. груз; 119607, ул. Раменки, д.17 к.1;Словакия; Россия, ;;;1980; +7(495)780-62-26, ;;
